Title,Description,Priority,Labels,Estimate,Project,Status
Amend PRD J5: the streak is a goal-completion streak,"CD-020, decided 2026-08-01. Goal-met days is the intended rule; the code stands. PRD J5 currently defines the streak as 'consecutive days with earning activity' and calls it a 'Fresh Start Streak' - both need rewriting to describe goal completion.

Accepted consequence to state in the doc: partial-credit days count for nothing (20 of a 30-min goal daily for a month = streak of 0).

Source: docs/decisions/decision-log.md#cd-020",3,docs,1,Docs & hygiene,Backlog
Spike: can DeviceActivity meter vice usage against a live balance?,"CD-031, decided 2026-08-01. Target model: unlock the FULL accumulated balance, consume it only while the user is actually in a vice app, re-shield at zero. Confirm feasibility before building.

Four questions to answer:
1. Thresholds are fixed at schedule start but the balance moves as the user earns. Does the vice schedule need re-registering on every balance change, and does that reset accumulated vice usage the way it does for earning (CD-008)? If yes, this is materially harder.
2. The 15-minute minimum interval (CD-006) applies here too. A user with 6 minutes banked needs a shorter window than the framework allows - does the backdating trick cover it?
3. Earning already registers up to 180 events and CD-012 will raise that. Will iOS tolerate a second large concurrent schedule?
4. Re-shield latency: threshold firing to shield application is not instant. How much overrun past zero, and should we under-grant to compensate?

Source: docs/decisions/decision-log.md#cd-031",1,spike,3,Spending & shield,Backlog
Build full-balance unlock with usage-metered consumption,"CD-031. Replaces the prepaid fixed-window model (CD-021, rejected - the 5-minute cap was a prototype value that hardened).

Half the plumbing already exists: DeviceActivityName.viceApps is defined, DeviceActivityMonitorExtension.handleViceAppEvent already writes a 60-second .spent event, and stopAllMonitoring already tears it down. The gap is that nothing ever calls startMonitoring(.viceApps, ...).

Blocked on the feasibility spike. Also removes the need to unify the duplicated 5-min constant.",2,feature,8,Spending & shield,Backlog
Decide: which daily-goal option set is canonical,"CD-022. Onboarding offers [15,30,45,60,90,120]; Settings offers [15,30,60,120,180,240]. A user who picks 45 or 90 during onboarding cannot re-select it in Settings. Neither set matches either spec.

Source: docs/decisions/decision-log.md#cd-022",3,decision,1,Decisions,Backlog
Decide: keep or delete EarningSessionManager,"CD-024. 169 lines + 167 lines of tests implementing the documented session model (60s warmup, 2-min pause timeout, 5-min credit). Referenced by nothing. Its existence is the main reason docs/specs/earning.md reads as though the session model is live. Keep as a reference for a future device-side implementation (with a header comment pointing at CD-011), or delete.

Source: docs/decisions/decision-log.md#cd-024",3,decision,1,Decisions,Backlog
Decide: drop category blocking from the PRD permanently,"CD-001. PRD J1 P2 wants category selection; per-app unlock makes it impossible (a category token cannot be unshielded for one app inside it). Code already enforces apps-only. Confirm the requirement is dropped, then remove the unreachable category paths in AppBlockingService, ShieldActionExtension.handle(for category:), and the monitor's reapplyViceShields.

Source: docs/decisions/decision-log.md#cd-001",3,decision,1,Decisions,Backlog
Gate the Test Actions section behind #if DEBUG,"CD-023 / C1. The dashboard's +5min/-2min buttons are a deliberate Simulator test harness, but they carry no #if DEBUG guard — they ship to TestFlight and the App Store as a user-facing section that grants free balance, which defeats the product and is an App Review risk.

File: Clepsy/Views/Dashboard/DashboardView.swift:332",1,"bug,scaffolding",1,Release readiness,Backlog
Remove the 180 min/day earning ceiling,"CD-012, decided. UsageTrackingService registers thresholds `for minutes in 1...180`, so earning silently stops after 3h of daily productive use. This is the exact daily earning cap that 'Dropped from MVP' removed from scope, reintroduced by implementation accident.

Not a one-line fix: event count grows linearly with the bound, so 1...1440 is likely unacceptable. Spike what DeviceActivity will accept, then either cap at a defensible waking-hours figure or use a small re-arming threshold set.

File: Clepsy/Services/UsageTrackingService.swift:36",2,bug,3,Earning engine,Backlog
Persist todayEarned and todaySpent,"C3. Both are in-memory @Published ints, never persisted. Force-quit and relaunch mid-day and both show 0 — which also zeroes the goal progress bar and the mascot's expression logic, while the balance itself survives. Needs day-scoped persistence that clears on daily reset.

File: Clepsy/ViewModels/DashboardViewModel.swift:8",2,bug,2,Earning engine,Backlog
Amend PRD J2: replace the session model with threshold accrual,"CD-011. PRD J2 P0s specify a 60s warmup and 2-min pause/resume timeout. Neither is implementable from a background extension — DeviceActivity reports threshold crossings, not app lifecycle. Rewrite J2 to describe threshold accrual, and rewrite docs/specs/earning.md to match.

Source: docs/decisions/decision-log.md#cd-011",2,docs,2,Earning engine,Backlog
Write the shield & unlock spec,"The largest engineering surface in the repo has no spec. Should cover: the two shield extensions (CD-004), the UserDefaults-only fast path and why (CD-003), the per-app unlock registry (CD-010), the 16-min backdating for DeviceActivity's minimum interval (CD-006), stale-shield mitigation for Apple bug FB14237883 (CD-007), and unlock-aware foreground re-shielding (CD-009).",2,docs,3,Spending & shield,Backlog
Amend PRD J4: real-time deduction at 1-minute granularity,"CD-014 / CD-031. The audit originally claimed J4's real-time deduction P0s were not implementable. That was wrong: per-SECOND metering is unavailable to a background extension, but per-MINUTE metered consumption works via the same threshold mechanism the earning path already uses.

So amend J4 to 1-minute granularity rather than striking it. The intent survives; only the resolution changes.",2,docs,2,Spending & shield,Backlog
Amend PRD J3: 'Earn Time Now' is not implementable,CD-005. A shield extension cannot launch another app — no API exists. The zero-balance state shows a single honest 'Go Back'. Replace the requirement rather than tracking it as a gap.,3,docs,1,Spending & shield,Backlog
Shield: add expiration indicator and last-updated timestamp,"PRD J3 P0s, unbuilt. 'Expires at midnight (5 hours remaining)' and 'Updated 30 seconds ago'. Note the config extension must stay fast (CD-003) — both values need to be readable from UserDefaults.",3,feature,2,Spending & shield,Backlog
Shield: distinguish Fresh Start from spent-it-all at zero balance,"PRD J3 P0. Post-midnight should read 'Fresh Start: yesterday's balance expired'; mid-day should read ""You've spent all your earned time today"". Currently one generic message covers both.",3,feature,2,Spending & shield,Backlog
"Check the daily reset on foreground, not only onAppear","C4 / D5. checkAndPerformDailyReset runs only in DashboardView.onAppear. The scenePhase handler calls syncPendingEvents but not the reset check, so an app resident in the background across midnight keeps yesterday's balance until a full relaunch. data-architecture.md calls launch-only checking a 'CRITICAL FIX' problem and specifies multiple triggers.

Files: Clepsy/ViewModels/DashboardViewModel.swift:136, Clepsy/Views/Dashboard/DashboardView.swift:59",2,bug,2,Daily expiration,Backlog
Re-shield vice apps at midnight mid-session,"PRD J4 P0: 'if user is mid-session in a vice app at 11:59 PM, app locks at 12:00 AM'. Nothing re-shields at midnight today, and an unlock window straddling midnight is unaffected by the reset.",3,feature,3,Daily expiration,Backlog
Balance expiration indicator and midnight countdown on dashboard,"PRD J5 P0s: balance shown with an expiration indicator, plus a visual countdown to the midnight reset. Neither exists.",3,feature,2,Daily expiration,Backlog
Build milestone notifications,"D3. PRD J2 P0. UNUserNotificationCenter appears nowhere in the codebase. Needs permission request, scheduling against earning thresholds, notification content, and tap-to-open handling. Full copy and timing rules already exist in the notification chapter of the specs.",2,feature,5,Notifications,Backlog
Persist milestoneInterval,"C2 / CD-023 adjacent. SettingsViewModel.milestoneInterval has a didSet calling saveSettings(), but saveSettings() never writes it and UserSettings has no such field. The value silently resets to 15 on every launch.

File: Clepsy/ViewModels/SettingsViewModel.swift:16",2,bug,1,Notifications,Backlog
Hide or disable the inert notification settings UI until it works,The Settings toggle and interval picker look functional but control nothing — the app promises a feature that does not exist. Either ship the feature or hide the controls.,3,bug,1,Notifications,Backlog
"Low-balance, time-expired, and weekly summary notifications","PRD J5/J6 P1s, fully specified in the notification chapter, none implemented. Depends on the milestone notification foundation.",4,feature,5,Notifications,Backlog
Persist the TimeEvent ledger for earning/spending history,"D4. PRD J5 P0s call for lists of recent earning and spending sessions (app name, duration, timestamp). TimeEvent already carries those fields, but syncPendingEvents calls clearEvents() immediately after applying them, so nothing is retained. Needs a persistence layer before any history UI is possible.

File: Clepsy/Services/UsageTrackingService.swift (syncPendingEvents)",2,feature,5,History & analytics,Backlog
Earning and spending history UI,PRD J5 P0. Blocked on the ledger persistence issue.,3,feature,3,History & analytics,Backlog
Handle permission denied during onboarding,"PRD J1 P0, onboarding spec Screen 2B, error spec 1A. PermissionView advances to the next step regardless of the authorization result, so a user who denies Screen Time lands on a dashboard that can never work. Needs the denied state plus a retry path.

File: Clepsy/Views/Onboarding/PermissionView.swift",2,feature,3,Error states,Backlog
Detect revoked Family Controls permission and show the dashboard banner,"PRD J6 P0, dashboard spec 3.1B, error spec 1B. No detection and no banner exist. Needs an authorization-status check on foreground and a banner with an Open Settings deep link.",2,feature,3,Error states,Backlog
Convert the remaining error-state spec into issues,"docs/specs/error-states.md is ~1,065 lines and roughly 0% implemented. Triage the P1/P2 entries (tracking failure, midnight reset failure, clock change, app deleted mid-session, rapid unlocks) into real issues or drop them.",4,docs,2,Error states,Backlog
Enforce at least one vice and one productive app in Settings,"C5. Onboarding requires >=1 app in each list; Settings does not. A user can clear both lists post-setup and silently disable the entire product.

File: Clepsy/ViewModels/SettingsViewModel.swift:20",2,bug,2,Settings hardening,Backlog
